raw_id	env_package	attribute_name	harmonized_name	value
16497187		growth facility		growth chamber
16497188		growth facility		growth chamber
16497189		growth facility		growth chamber
16497190		growth facility		growth chamber
16497191		growth facility		growth chamber
16497192		growth facility		growth chamber
16765873		growth facility		glasshouse
16765874		growth facility		glasshouse
16765875		growth facility		glasshouse
16765876		growth facility		glasshouse
16765877		growth facility		glasshouse
16765878		growth facility		glasshouse
16765879		growth facility		glasshouse
16765880		growth facility		glasshouse
16765881		growth facility		glasshouse
16765882		growth facility		glasshouse
16765883		growth facility		glasshouse
16765884		growth facility		glasshouse
16765885		growth facility		glasshouse
16765886		growth facility		glasshouse
16765887		growth facility		glasshouse
16765888		growth facility		glasshouse
16765889		growth facility		glasshouse
16765890		growth facility		glasshouse
16765891		growth facility		glasshouse
16765892		growth facility		glasshouse
16765893		growth facility		glasshouse
16765894		growth facility		glasshouse
16765895		growth facility		glasshouse
16765896		growth facility		glasshouse
16765897		growth facility		glasshouse
16765898		growth facility		glasshouse
16765899		growth facility		glasshouse
16765900		growth facility		glasshouse
16765901		growth facility		glasshouse
16765902		growth facility		glasshouse
16765903		growth facility		glasshouse
16765904		growth facility		glasshouse
16765905		growth facility		glasshouse
16765906		growth facility		glasshouse
16765907		growth facility		glasshouse
16765908		growth facility		glasshouse
16765909		growth facility		glasshouse
16765910		growth facility		glasshouse
16765911		growth facility		glasshouse
16765912		growth facility		glasshouse
16765913		growth facility		glasshouse
16765914		growth facility		glasshouse
16765915		growth facility		glasshouse
16765916		growth facility		glasshouse
16765917		growth facility		glasshouse
16765918		growth facility		glasshouse
16765919		growth facility		glasshouse
16765920		growth facility		glasshouse
16765921		growth facility		glasshouse
16765922		growth facility		glasshouse
16765923		growth facility		glasshouse
16765924		growth facility		glasshouse
16765925		growth facility		glasshouse
16765926		growth facility		glasshouse
16765927		growth facility		glasshouse
16765928		growth facility		glasshouse
16765929		growth facility		glasshouse
16765930		growth facility		glasshouse
16765931		growth facility		glasshouse
16765932		growth facility		glasshouse
16765933		growth facility		glasshouse
16765934		growth facility		glasshouse
16765935		growth facility		glasshouse
16765936		growth facility		glasshouse
16765937		growth facility		glasshouse
16765938		growth facility		glasshouse
16765939		growth facility		glasshouse
16765940		growth facility		glasshouse
16765941		growth facility		glasshouse
16765942		growth facility		glasshouse
16765943		growth facility		glasshouse
16765944		growth facility		glasshouse
16765945		growth facility		glasshouse
16765946		growth facility		glasshouse
16765947		growth facility		glasshouse
16765948		growth facility		glasshouse
16765949		growth facility		glasshouse
16765950		growth facility		glasshouse
16765951		growth facility		glasshouse
16765952		growth facility		glasshouse
16765953		growth facility		glasshouse
16765954		growth facility		glasshouse
16765955		growth facility		glasshouse
16765956		growth facility		glasshouse
16765957		growth facility		glasshouse
16765958		growth facility		glasshouse
16765959		growth facility		glasshouse
16765960		growth facility		glasshouse
16765961		growth facility		glasshouse
16765962		growth facility		glasshouse
16765963		growth facility		glasshouse
16765964		growth facility		glasshouse
16765965		growth facility		glasshouse
16765966		growth facility		glasshouse
16765967		growth facility		glasshouse
16765968		growth facility		glasshouse
16765969		growth facility		glasshouse
16765970		growth facility		glasshouse
16765971		growth facility		glasshouse
16765972		growth facility		glasshouse
16765973		growth facility		glasshouse
16765974		growth facility		glasshouse
16765975		growth facility		glasshouse
16765976		growth facility		glasshouse
16765977		growth facility		glasshouse
16765978		growth facility		glasshouse
16765979		growth facility		glasshouse
16765980		growth facility		glasshouse
16765981		growth facility		glasshouse
16765982		growth facility		glasshouse
16765983		growth facility		glasshouse
16765984		growth facility		glasshouse
16765985		growth facility		glasshouse
16765986		growth facility		glasshouse
16765987		growth facility		glasshouse
16765988		growth facility		glasshouse
16765989		growth facility		glasshouse
16765990		growth facility		glasshouse
16765991		growth facility		glasshouse
16765992		growth facility		glasshouse
16765993		growth facility		glasshouse
16765994		growth facility		glasshouse
16765995		growth facility		glasshouse
16765996		growth facility		glasshouse
16765997		growth facility		glasshouse
16765998		growth facility		glasshouse
16765999		growth facility		glasshouse
16766000		growth facility		glasshouse
16766001		growth facility		glasshouse
16766002		growth facility		glasshouse
16766003		growth facility		glasshouse
16766004		growth facility		glasshouse
16766005		growth facility		glasshouse
16766006		growth facility		glasshouse
16766007		growth facility		glasshouse
16766008		growth facility		glasshouse
16766009		growth facility		glasshouse
16766010		growth facility		glasshouse
16766011		growth facility		glasshouse
16766012		growth facility		glasshouse
16766013		growth facility		glasshouse
16766014		growth facility		glasshouse
